AccidentID,DateTime,County,WeatherCondition,RoadCondition,VehicleType,SeverityLevel,NumberOfVehicles,NumberOfInjuries,Cause,Junction,Traffic_Signal,Bump
A01815,2/15/2023 6:10,Manhattan,Sunny,Dry,Motorcycle,Moderate,1,5,Drunk Driving,TRUE,FALSE,TRUE
A01816,5/31/2023 11:45,Queens,Foggy,Wet,Car,Severe,1,0,Poor Road Condition,FALSE,TRUE,FALSE
A01817,3/24/2023 22:40,Manhattan,Foggy,,Motorcycle,Moderate,1,0,Poor Road Condition,TRUE,TRUE,TRUE
A01818,3/23/2023 21:05,Brooklyn,Sunny,,Car,Moderate,1,1,Distracted Driving,FALSE,FALSE,TRUE
A01819,3/20/2023 10:27,The Bronx,Sunny,Wet,Motorcycle,Moderate,1,0,Speeding,FALSE,FALSE,TRUE
A01820,8/6/2023 7:58,Queens,Sunny,Wet,Truck,Severe,1,1,Drunk Driving,TRUE,TRUE,TRUE
A01821,9/30/2023 15:13,Manhattan,Snowy,Under Construction,Bus,Severe,1,0,Distracted Driving,FALSE,FALSE,FALSE
A01822,2/15/2023 12:22,Queens,Snowy,Under Construction,Car,Moderate,2,0,Distracted Driving,FALSE,FALSE,FALSE
A01823,1/8/2023 14:42,Manhattan,Rainy,Wet,Car,Minor,2,5,Drunk Driving,FALSE,FALSE,FALSE
A01824,5/9/2023 5:52,Staten Island,Foggy,,Bus,,4,6,Poor Road Condition,TRUE,FALSE,TRUE
A01825,5/25/2023 22:12,Brooklyn,Snowy,Wet,Motorcycle,Minor,2,0,Distracted Driving,FALSE,FALSE,FALSE
A01826,6/23/2023 10:08,Staten Island,Sunny,Wet,Motorcycle,Moderate,2,9,Drunk Driving,FALSE,FALSE,FALSE
A01827,4/5/2023 17:13,The Bronx,,Wet,Motorcycle,Moderate,1,2,Poor Road Condition,TRUE,TRUE,FALSE
A01828,3/7/2023 12:18,Manhattan,Rainy,Under Construction,Bus,,1,8,Drunk Driving,FALSE,TRUE,FALSE
A01829,4/17/2023 19:22,Staten Island,Sunny,Dry,Bus,Severe,1,0,Distracted Driving,FALSE,FALSE,FALSE
A01830,4/29/2023 1:33,Brooklyn,Snowy,,Truck,Moderate,2,4,Distracted Driving,FALSE,FALSE,FALSE
A01831,5/31/2023 3:50,The Bronx,Sunny,Wet,Truck,Minor,2,7,Distracted Driving,FALSE,FALSE,FALSE
A01832,9/20/2023 0:50,The Bronx,Sunny,Dry,Car,Moderate,1,3,Drunk Driving,FALSE,FALSE,FALSE
A01833,1/6/2023 14:54,Brooklyn,Sunny,Dry,Car,Moderate,3,4,Poor Road Condition,FALSE,FALSE,FALSE
A01834,4/6/2023 2:54,The Bronx,Sunny,Under Construction,Truck,Moderate,1,6,Distracted Driving,FALSE,FALSE,FALSE
A01835,7/13/2023 21:37,Brooklyn,Sunny,Under Construction,Car,Minor,2,2,Poor Road Condition,FALSE,FALSE,TRUE
A01836,5/7/2023 6:20,Queens,Rainy,Dry,Car,Moderate,1,5,Poor Road Condition,FALSE,FALSE,FALSE
A01837,2/20/2023 11:26,Queens,Sunny,Dry,Motorcycle,Moderate,1,6,Distracted Driving,FALSE,FALSE,FALSE
A01838,6/30/2023 1:24,Staten Island,Sunny,Under Construction,Car,Moderate,4,4,Poor Road Condition,FALSE,FALSE,FALSE
A01839,6/20/2023 3:29,Queens,Sunny,,Bus,Moderate,1,8,Drunk Driving,FALSE,TRUE,FALSE
A01840,5/17/2023 19:19,Manhattan,Sunny,Dry,Motorcycle,Severe,1,8,Drunk Driving,FALSE,FALSE,FALSE
A01841,7/9/2023 19:37,Brooklyn,Sunny,Wet,Bus,Moderate,1,8,Distracted Driving,TRUE,FALSE,FALSE
A01842,3/20/2023 20:53,Brooklyn,Foggy,Under Construction,Truck,Severe,3,2,Distracted Driving,FALSE,TRUE,TRUE
A01843,8/10/2023 14:16,The Bronx,Rainy,Dry,Motorcycle,Moderate,1,9,Distracted Driving,TRUE,FALSE,FALSE
A01844,4/22/2023 16:26,The Bronx,Sunny,Wet,Car,Moderate,1,1,Distracted Driving,TRUE,TRUE,FALSE
A01845,8/15/2023 6:03,The Bronx,Sunny,Dry,Motorcycle,Moderate,1,6,Poor Road Condition,TRUE,FALSE,TRUE
A01846,9/24/2023 18:41,Staten Island,Sunny,Under Construction,Truck,Moderate,2,7,Distracted Driving,FALSE,FALSE,FALSE
A01847,7/31/2023 16:30,Staten Island,Sunny,Under Construction,Truck,Minor,1,8,Distracted Driving,TRUE,FALSE,FALSE
A01848,4/29/2023 14:18,The Bronx,Sunny,Under Construction,Motorcycle,Severe,1,3,Poor Road Condition,FALSE,FALSE,TRUE
A01849,2/16/2023 5:06,The Bronx,Sunny,Dry,Motorcycle,Moderate,1,7,Distracted Driving,TRUE,FALSE,TRUE
A01850,8/22/2023 23:22,The Bronx,Sunny,Under Construction,Motorcycle,Moderate,2,6,Poor Road Condition,FALSE,FALSE,FALSE
A01851,5/6/2023 21:47,Queens,Foggy,Wet,Bus,Minor,2,7,Drunk Driving,TRUE,TRUE,FALSE
A01852,10/10/2023 14:22,Queens,Rainy,Under Construction,Truck,Moderate,4,0,Speeding,TRUE,FALSE,FALSE
A01853,6/4/2023 14:37,The Bronx,Sunny,Dry,Truck,Moderate,1,9,Speeding,FALSE,FALSE,FALSE
A01854,6/6/2023 14:40,The Bronx,,Dry,Car,Moderate,1,3,Drunk Driving,FALSE,FALSE,TRUE
A01855,1/1/2023 6:21,The Bronx,Rainy,Wet,Bus,Minor,1,6,Distracted Driving,FALSE,FALSE,FALSE
A01856,3/13/2023 18:48,Queens,Rainy,,Truck,Severe,1,7,Speeding,TRUE,FALSE,TRUE
A01857,9/15/2023 9:29,Queens,Sunny,Under Construction,Truck,Moderate,1,6,Poor Road Condition,FALSE,FALSE,FALSE
A01858,6/23/2023 4:16,Brooklyn,Foggy,Wet,Bus,Minor,3,0,Distracted Driving,TRUE,TRUE,FALSE
A01859,8/10/2023 16:34,Queens,Sunny,Under Construction,Truck,Severe,1,9,Speeding,TRUE,TRUE,FALSE
A01860,4/16/2023 16:53,Queens,Sunny,,Bus,Moderate,2,9,Drunk Driving,FALSE,FALSE,FALSE
A01861,9/28/2023 11:23,Queens,Sunny,Wet,Motorcycle,Moderate,1,3,Drunk Driving,TRUE,FALSE,TRUE
A01862,2/27/2023 13:10,The Bronx,Sunny,Dry,Motorcycle,,2,6,Drunk Driving,FALSE,FALSE,FALSE
A01863,5/12/2023 8:15,Manhattan,Sunny,Under Construction,Truck,Minor,1,5,Drunk Driving,FALSE,FALSE,FALSE
A01864,5/11/2023 20:05,Manhattan,Sunny,Wet,Car,Moderate,2,5,Speeding,FALSE,FALSE,FALSE
A01865,2/24/2023 6:31,The Bronx,Sunny,Wet,Car,Moderate,1,5,Distracted Driving,TRUE,FALSE,FALSE
A01866,7/7/2023 23:17,Queens,Sunny,Dry,Bus,Minor,4,2,Speeding,FALSE,FALSE,FALSE
A01867,9/13/2023 2:50,Brooklyn,Sunny,Wet,Motorcycle,Severe,2,7,Drunk Driving,FALSE,FALSE,FALSE
A01868,11/21/2023 14:56,Queens,Sunny,Wet,Bus,Severe,1,9,Poor Road Condition,FALSE,TRUE,TRUE
A01869,11/21/2023 5:37,The Bronx,Sunny,Dry,Truck,Severe,1,0,Distracted Driving,FALSE,FALSE,FALSE
A01870,11/30/2023 15:00,Staten Island,Sunny,Under Construction,Bus,Moderate,2,4,Drunk Driving,FALSE,FALSE,FALSE
A01871,8/2/2023 12:19,Staten Island,Sunny,,Car,Minor,1,3,Drunk Driving,TRUE,FALSE,FALSE
A01872,3/3/2023 22:34,Brooklyn,Sunny,Under Construction,Truck,Moderate,2,3,Speeding,FALSE,FALSE,FALSE
A01873,1/6/2023 8:46,Manhattan,Sunny,Dry,Bus,Moderate,1,4,Distracted Driving,TRUE,TRUE,TRUE
A01874,3/13/2023 11:03,Brooklyn,Foggy,Dry,Truck,Minor,2,7,Distracted Driving,FALSE,FALSE,FALSE
A01875,5/20/2023 6:57,Manhattan,Sunny,Dry,Truck,Severe,2,9,Poor Road Condition,FALSE,FALSE,FALSE
A01876,6/4/2023 10:39,Manhattan,Snowy,,Car,Moderate,2,3,Speeding,FALSE,FALSE,TRUE
A01877,6/7/2023 23:21,The Bronx,Sunny,Under Construction,Truck,Moderate,2,1,Speeding,TRUE,FALSE,FALSE
A01878,2/1/2023 10:47,Staten Island,Sunny,Wet,Bus,Severe,2,0,Distracted Driving,FALSE,TRUE,FALSE
A01879,3/28/2023 9:04,Brooklyn,Sunny,Wet,Bus,Moderate,1,4,Poor Road Condition,FALSE,FALSE,FALSE
A01880,6/12/2023 11:36,Queens,Foggy,Wet,Truck,Minor,1,1,Poor Road Condition,TRUE,FALSE,FALSE
A01881,10/9/2023 9:27,Brooklyn,Snowy,Under Construction,Car,Minor,1,4,Poor Road Condition,TRUE,FALSE,FALSE
A01882,8/21/2023 15:13,Queens,Sunny,Under Construction,Truck,Minor,2,9,Poor Road Condition,FALSE,FALSE,TRUE
A01883,8/6/2023 0:28,Queens,Snowy,Under Construction,Motorcycle,Moderate,3,0,Drunk Driving,TRUE,FALSE,FALSE
A01884,4/13/2023 16:56,The Bronx,Snowy,Wet,Car,Moderate,1,7,Drunk Driving,FALSE,FALSE,TRUE
A01885,2/15/2023 10:27,Brooklyn,Sunny,Wet,Truck,Severe,1,7,Distracted Driving,FALSE,FALSE,FALSE
A01886,9/29/2023 21:50,Brooklyn,Sunny,Dry,Motorcycle,Moderate,1,0,Poor Road Condition,TRUE,FALSE,FALSE
A01887,10/9/2023 10:29,The Bronx,Rainy,Dry,Car,Moderate,2,8,Distracted Driving,FALSE,TRUE,FALSE
A01888,3/17/2023 21:21,Staten Island,Sunny,Wet,Truck,Minor,1,3,Distracted Driving,TRUE,FALSE,TRUE
A01889,7/20/2023 17:41,Brooklyn,Sunny,Dry,Car,Moderate,2,4,Speeding,FALSE,FALSE,FALSE
A01890,3/4/2023 6:29,Staten Island,Sunny,Under Construction,Car,Moderate,2,5,Distracted Driving,FALSE,FALSE,FALSE
A01891,9/27/2023 4:05,Queens,Rainy,,Motorcycle,Moderate,2,7,Drunk Driving,TRUE,TRUE,TRUE
A01892,8/30/2023 4:16,The Bronx,Sunny,Dry,Car,Severe,2,4,Distracted Driving,FALSE,FALSE,FALSE
A01893,1/2/2023 3:46,Manhattan,Sunny,Dry,Motorcycle,Minor,1,9,Drunk Driving,TRUE,FALSE,FALSE
A01894,8/17/2023 18:44,Staten Island,Sunny,Wet,Motorcycle,Minor,2,9,Drunk Driving,TRUE,FALSE,FALSE
A01895,8/13/2023 11:37,The Bronx,Snowy,Wet,Car,Moderate,1,9,Distracted Driving,FALSE,TRUE,FALSE
A01896,1/15/2023 9:37,Brooklyn,Sunny,Dry,Truck,Moderate,3,2,Drunk Driving,FALSE,FALSE,FALSE
A01897,8/9/2023 8:49,Staten Island,Rainy,,Truck,Severe,1,4,Distracted Driving,FALSE,FALSE,FALSE
A01898,5/11/2023 19:30,Staten Island,Foggy,Wet,Car,Severe,2,3,Distracted Driving,FALSE,FALSE,TRUE
A01899,10/9/2023 16:51,Manhattan,Sunny,,Bus,Moderate,1,1,Drunk Driving,FALSE,FALSE,TRUE
A01900,11/24/2023 7:53,Manhattan,Snowy,Under Construction,Motorcycle,Severe,2,4,Speeding,TRUE,FALSE,FALSE
A01901,6/8/2023 5:07,Queens,Sunny,Under Construction,Truck,Moderate,3,3,Speeding,TRUE,FALSE,FALSE
A01902,7/6/2023 16:26,The Bronx,Sunny,Under Construction,Truck,Minor,2,9,Drunk Driving,FALSE,TRUE,FALSE
A01903,5/31/2023 9:44,Manhattan,Rainy,Under Construction,Car,Severe,2,9,Drunk Driving,TRUE,FALSE,FALSE
A01904,9/14/2023 12:44,Manhattan,Rainy,Wet,Motorcycle,Moderate,1,8,Drunk Driving,TRUE,FALSE,TRUE
A01905,5/23/2023 19:46,The Bronx,Sunny,Under Construction,Motorcycle,Moderate,1,2,Distracted Driving,TRUE,FALSE,FALSE
A01906,1/27/2023 19:10,Brooklyn,Sunny,Wet,Bus,Severe,2,3,Speeding,FALSE,FALSE,FALSE
A01907,8/2/2023 7:43,Staten Island,Sunny,Under Construction,Motorcycle,Moderate,1,6,Speeding,TRUE,FALSE,FALSE
A01908,11/28/2023 7:28,Brooklyn,Snowy,,Car,Minor,2,1,Drunk Driving,TRUE,FALSE,FALSE
A01909,7/1/2023 10:05,Manhattan,Snowy,,Car,Moderate,2,2,Poor Road Condition,FALSE,FALSE,TRUE
A01910,2/11/2023 2:49,Queens,Snowy,,Car,Moderate,1,7,Drunk Driving,FALSE,FALSE,FALSE
A01911,7/26/2023 6:07,Manhattan,Rainy,Dry,Car,Moderate,3,7,Drunk Driving,FALSE,FALSE,FALSE
A01912,2/6/2023 3:20,Queens,Sunny,,Motorcycle,Minor,2,3,Drunk Driving,FALSE,FALSE,FALSE
A01913,5/14/2023 7:37,Queens,Sunny,Under Construction,Truck,Moderate,2,3,Speeding,TRUE,FALSE,FALSE
A01914,7/18/2023 0:14,Staten Island,Sunny,Wet,Car,Moderate,4,4,Distracted Driving,FALSE,FALSE,FALSE
A01915,2/9/2023 0:18,Brooklyn,Sunny,Under Construction,Motorcycle,Moderate,1,9,Drunk Driving,FALSE,TRUE,TRUE
A01916,10/4/2023 9:53,Manhattan,Sunny,Dry,Truck,Minor,1,1,Drunk Driving,FALSE,TRUE,FALSE
A01917,9/16/2023 4:22,Queens,Sunny,Wet,Bus,Minor,1,8,Speeding,TRUE,FALSE,FALSE
A01918,9/12/2023 16:01,Staten Island,Rainy,Wet,Motorcycle,Moderate,1,1,Drunk Driving,FALSE,FALSE,FALSE
A01919,11/4/2023 16:20,Manhattan,Sunny,Under Construction,Motorcycle,,1,8,Speeding,TRUE,FALSE,FALSE
A01920,1/5/2023 8:38,Brooklyn,Foggy,,Truck,Severe,1,9,Poor Road Condition,FALSE,FALSE,FALSE
A01921,5/27/2023 9:26,Queens,Sunny,Wet,Bus,Moderate,1,0,Distracted Driving,TRUE,FALSE,FALSE
A01922,8/24/2023 4:42,Queens,Sunny,Dry,Truck,Severe,2,3,Poor Road Condition,FALSE,FALSE,FALSE
A01923,2/19/2023 14:48,Staten Island,Snowy,Dry,Motorcycle,Minor,2,8,Distracted Driving,FALSE,FALSE,FALSE
A01924,10/14/2023 19:27,Manhattan,Rainy,Under Construction,Car,Moderate,1,2,Speeding,FALSE,TRUE,FALSE
A01925,8/7/2023 12:27,Staten Island,Sunny,Wet,Truck,Severe,2,9,Distracted Driving,TRUE,FALSE,TRUE
A01926,6/5/2023 7:07,Brooklyn,Rainy,Wet,Motorcycle,Moderate,2,6,Poor Road Condition,TRUE,TRUE,FALSE
A01927,8/13/2023 23:00,Manhattan,Foggy,Dry,Car,Moderate,1,6,Distracted Driving,FALSE,TRUE,FALSE
A01928,8/15/2023 2:52,Staten Island,Snowy,Dry,Motorcycle,Moderate,2,4,Distracted Driving,FALSE,FALSE,FALSE
A01929,2/22/2023 23:13,Staten Island,Sunny,Dry,Truck,Severe,3,1,Speeding,FALSE,FALSE,FALSE
A01930,11/14/2023 14:24,Staten Island,Sunny,Dry,Bus,Moderate,2,0,Speeding,FALSE,FALSE,TRUE
A01931,7/29/2023 13:41,Manhattan,Sunny,Under Construction,Truck,Moderate,1,1,Drunk Driving,FALSE,FALSE,FALSE
A01932,5/19/2023 22:44,Staten Island,Sunny,Under Construction,Bus,Moderate,4,4,Poor Road Condition,FALSE,FALSE,FALSE
A01933,2/17/2023 11:17,Staten Island,Sunny,Under Construction,Truck,Moderate,1,4,Drunk Driving,FALSE,FALSE,FALSE
A01934,3/5/2023 3:24,Brooklyn,Snowy,Dry,Truck,Severe,2,8,Distracted Driving,FALSE,TRUE,FALSE
A01935,2/3/2023 7:26,The Bronx,Sunny,Under Construction,Bus,Moderate,1,8,Distracted Driving,FALSE,TRUE,FALSE
A01936,8/16/2023 21:49,The Bronx,Rainy,Under Construction,Motorcycle,Moderate,1,7,Drunk Driving,FALSE,FALSE,FALSE
A01937,8/3/2023 21:25,Brooklyn,,Dry,Bus,,2,9,Speeding,TRUE,TRUE,FALSE
A01938,9/27/2023 10:32,The Bronx,Sunny,Dry,Motorcycle,Moderate,1,1,Poor Road Condition,FALSE,TRUE,FALSE
A01939,7/28/2023 11:19,Staten Island,Rainy,Dry,Car,Moderate,1,2,Drunk Driving,TRUE,TRUE,FALSE
A01940,11/19/2023 1:02,Manhattan,Sunny,Wet,Bus,Moderate,2,5,Speeding,FALSE,FALSE,TRUE
A01941,2/5/2023 6:31,Staten Island,Sunny,Dry,Bus,Moderate,1,4,Speeding,FALSE,TRUE,FALSE
A01942,8/28/2023 14:11,The Bronx,Sunny,Wet,Truck,Moderate,1,1,Distracted Driving,FALSE,TRUE,FALSE
A01943,9/4/2023 2:42,Queens,Sunny,Dry,Car,Moderate,2,3,Distracted Driving,FALSE,FALSE,FALSE
A01944,6/27/2023 19:31,Staten Island,,Dry,Motorcycle,Moderate,2,1,Poor Road Condition,FALSE,TRUE,FALSE
A01945,6/10/2023 2:05,Queens,Sunny,Wet,Truck,Moderate,1,5,Drunk Driving,FALSE,FALSE,TRUE
A01946,1/25/2023 7:30,Brooklyn,Snowy,Dry,Car,Moderate,1,5,Drunk Driving,FALSE,TRUE,FALSE
A01947,5/16/2023 12:13,Manhattan,Sunny,Wet,Bus,,1,9,Distracted Driving,FALSE,FALSE,FALSE
A01948,10/27/2023 20:24,Queens,Sunny,Dry,Bus,Severe,2,8,Speeding,FALSE,FALSE,FALSE
A01949,3/30/2023 11:03,Brooklyn,Sunny,Under Construction,Car,Moderate,1,2,Distracted Driving,FALSE,FALSE,FALSE
A01950,8/22/2023 9:20,The Bronx,Sunny,Under Construction,Car,Moderate,1,6,Poor Road Condition,TRUE,FALSE,FALSE
A01951,3/28/2023 11:33,Brooklyn,Sunny,Dry,Car,Moderate,3,8,Speeding,TRUE,FALSE,FALSE
A01952,5/12/2023 12:02,Brooklyn,Sunny,Wet,Motorcycle,Minor,1,6,Speeding,FALSE,FALSE,FALSE
A01953,8/5/2023 14:08,Queens,Sunny,Wet,Truck,Minor,1,4,Distracted Driving,FALSE,FALSE,FALSE
A01954,11/3/2023 5:50,The Bronx,Rainy,Under Construction,Car,Minor,1,5,Distracted Driving,FALSE,TRUE,FALSE
A01955,3/11/2023 20:08,Manhattan,Foggy,Wet,Truck,Moderate,3,1,Speeding,TRUE,FALSE,FALSE
A01956,5/3/2023 4:39,Manhattan,Sunny,Under Construction,Motorcycle,Severe,2,4,Poor Road Condition,FALSE,TRUE,FALSE
A01957,9/6/2023 0:15,The Bronx,Sunny,Wet,Motorcycle,Moderate,2,45,Distracted Driving,TRUE,FALSE,FALSE
A01958,9/29/2023 13:22,Staten Island,Snowy,Under Construction,Bus,Moderate,1,1,Poor Road Condition,FALSE,TRUE,FALSE
A01959,2/10/2023 1:37,Manhattan,Sunny,Under Construction,Car,Severe,1,0,Drunk Driving,TRUE,FALSE,FALSE
A01960,3/14/2023 4:35,Staten Island,Foggy,Dry,Bus,Moderate,1,7,Drunk Driving,TRUE,FALSE,FALSE
A01961,1/13/2023 6:36,Staten Island,Sunny,Under Construction,Truck,Moderate,2,9,Drunk Driving,FALSE,FALSE,FALSE
A01962,10/24/2023 8:16,Manhattan,Sunny,Dry,Motorcycle,,2,8,Drunk Driving,FALSE,FALSE,FALSE
A01963,11/15/2023 2:58,The Bronx,Sunny,Under Construction,Motorcycle,Moderate,2,6,Distracted Driving,FALSE,FALSE,FALSE
A01964,9/9/2023 22:41,Staten Island,Snowy,Dry,Motorcycle,Moderate,1,8,Speeding,FALSE,FALSE,TRUE
A01965,7/6/2023 5:51,Brooklyn,Rainy,Dry,Truck,Moderate,2,2,Drunk Driving,TRUE,FALSE,FALSE
A01966,5/3/2023 8:53,Brooklyn,Sunny,Dry,Truck,Severe,2,3,Drunk Driving,FALSE,FALSE,FALSE
A01967,10/14/2023 19:49,The Bronx,Sunny,Under Construction,Truck,Moderate,2,3,Speeding,FALSE,FALSE,TRUE
A01968,1/28/2023 3:57,Queens,Sunny,Wet,Bus,Moderate,2,9,Speeding,FALSE,FALSE,FALSE
A01969,10/23/2023 4:41,The Bronx,Foggy,Dry,Car,Moderate,1,8,Poor Road Condition,TRUE,TRUE,FALSE
A01970,6/19/2023 14:30,Brooklyn,Sunny,Dry,Car,Moderate,1,9,Poor Road Condition,FALSE,TRUE,TRUE
A01971,8/26/2023 1:31,Manhattan,Sunny,Dry,Truck,Minor,3,1,Poor Road Condition,FALSE,TRUE,TRUE
A01972,11/8/2023 0:27,Manhattan,Snowy,Wet,Car,Moderate,1,7,Drunk Driving,FALSE,FALSE,FALSE
A01973,9/22/2023 13:16,The Bronx,Sunny,Wet,Motorcycle,Severe,1,7,Distracted Driving,FALSE,FALSE,FALSE
A01974,1/26/2023 18:24,Staten Island,Foggy,Under Construction,Bus,Moderate,1,1,Distracted Driving,FALSE,FALSE,FALSE
A01975,6/7/2023 19:09,Queens,Snowy,Under Construction,Bus,Severe,2,2,Poor Road Condition,TRUE,FALSE,FALSE
A01976,9/30/2023 4:06,Queens,Sunny,Under Construction,Bus,Moderate,2,9,Distracted Driving,FALSE,FALSE,FALSE
A01977,8/17/2023 8:38,Brooklyn,Sunny,Dry,Car,Moderate,1,3,Drunk Driving,TRUE,FALSE,FALSE
A01978,7/28/2023 6:53,The Bronx,Foggy,Dry,Bus,Moderate,2,0,Distracted Driving,TRUE,FALSE,FALSE
A01979,5/20/2023 8:44,Manhattan,Sunny,Wet,Bus,Moderate,1,9,Drunk Driving,FALSE,FALSE,FALSE
A01980,11/24/2023 18:11,Staten Island,Rainy,Under Construction,Truck,Moderate,1,6,Drunk Driving,FALSE,FALSE,FALSE
A01981,9/19/2023 8:06,Queens,Sunny,Dry,Car,Minor,2,0,Poor Road Condition,FALSE,FALSE,FALSE
A01982,6/4/2023 14:50,Manhattan,Rainy,Under Construction,Bus,Minor,1,9,Distracted Driving,FALSE,FALSE,FALSE
A01983,7/16/2023 17:27,The Bronx,Sunny,,Car,Severe,2,9,Drunk Driving,FALSE,FALSE,FALSE
A01984,4/27/2023 18:37,Brooklyn,Rainy,Under Construction,Truck,Minor,1,4,Poor Road Condition,FALSE,FALSE,FALSE
A01985,11/28/2023 10:35,Brooklyn,Rainy,Dry,,Severe,1,8,Drunk Driving,FALSE,FALSE,FALSE
A01986,2/25/2023 16:33,Manhattan,Snowy,Wet,Bus,Moderate,2,1,Distracted Driving,FALSE,FALSE,FALSE
A01987,7/14/2023 5:53,The Bronx,Foggy,Dry,Motorcycle,Moderate,2,0,Drunk Driving,FALSE,FALSE,FALSE
A01988,5/15/2023 3:31,Queens,Sunny,Dry,,Moderate,2,9,Distracted Driving,TRUE,FALSE,FALSE
A01989,2/18/2023 5:44,Queens,Sunny,Dry,Truck,Minor,1,2,Distracted Driving,FALSE,FALSE,FALSE
A01990,2/27/2023 14:11,Staten Island,Snowy,Under Construction,Motorcycle,Moderate,1,0,Drunk Driving,FALSE,FALSE,FALSE
A01991,10/10/2023 9:21,Brooklyn,Sunny,Under Construction,Car,Moderate,1,6,Distracted Driving,FALSE,FALSE,FALSE
A01992,11/25/2023 7:32,Queens,Foggy,Wet,Car,,2,3,Drunk Driving,TRUE,TRUE,TRUE
A01993,3/25/2023 8:39,Queens,Rainy,Dry,Bus,,2,0,Drunk Driving,FALSE,FALSE,FALSE
A01994,10/26/2023 10:18,Manhattan,Foggy,Wet,Car,Moderate,1,0,Poor Road Condition,FALSE,FALSE,FALSE
A01995,3/23/2023 1:15,The Bronx,,Under Construction,Motorcycle,Moderate,4,4,Distracted Driving,FALSE,FALSE,TRUE
A01996,3/6/2023 3:55,Manhattan,Snowy,Dry,Motorcycle,Severe,1,7,Speeding,FALSE,FALSE,FALSE
A01997,11/7/2023 19:03,Staten Island,Sunny,Dry,Car,Moderate,1,3,Distracted Driving,FALSE,FALSE,FALSE
A01998,1/23/2023 14:08,Brooklyn,Foggy,Wet,Truck,Minor,2,2,Poor Road Condition,FALSE,FALSE,TRUE
A01999,6/14/2023 8:31,Staten Island,Foggy,Wet,Truck,,2,8,Poor Road Condition,FALSE,FALSE,FALSE
A02000,8/20/2023 19:48,The Bronx,Rainy,Wet,Motorcycle,Moderate,2,3,Distracted Driving,FALSE,FALSE,FALSE
A02001,4/4/2023 12:25,Queens,Sunny,Under Construction,Bus,Moderate,1,5,Distracted Driving,FALSE,FALSE,TRUE
A02002,5/31/2023 9:19,Staten Island,Sunny,Dry,Car,Moderate,4,3,Drunk Driving,FALSE,FALSE,FALSE
A02003,4/16/2023 14:13,Brooklyn,Sunny,Under Construction,Bus,Severe,1,0,Speeding,FALSE,FALSE,FALSE
A02004,1/1/2023 1:35,Brooklyn,Sunny,Wet,Motorcycle,Moderate,1,1,Drunk Driving,FALSE,FALSE,FALSE
A02005,6/1/2023 19:24,Staten Island,Sunny,Dry,Truck,Severe,1,9,Distracted Driving,FALSE,TRUE,FALSE
A02006,1/21/2023 5:34,Brooklyn,Sunny,Under Construction,Motorcycle,Moderate,1,6,Speeding,FALSE,TRUE,FALSE
A02007,8/12/2023 16:47,The Bronx,Sunny,Dry,Bus,Moderate,3,7,Poor Road Condition,FALSE,FALSE,FALSE
A02008,3/29/2023 15:48,Staten Island,Sunny,Wet,Bus,Minor,2,3,Poor Road Condition,FALSE,FALSE,FALSE
A02009,8/19/2023 5:28,Queens,Foggy,Wet,Truck,Minor,1,0,Speeding,FALSE,FALSE,FALSE
A02010,11/19/2023 9:03,Brooklyn,Sunny,Under Construction,Motorcycle,Minor,1,1,Poor Road Condition,FALSE,TRUE,FALSE
A02011,11/1/2023 11:53,Brooklyn,Sunny,Wet,Motorcycle,Moderate,1,6,Speeding,FALSE,FALSE,FALSE
A02012,10/23/2023 6:16,The Bronx,Sunny,Under Construction,Car,Moderate,1,4,Drunk Driving,TRUE,FALSE,FALSE
A02013,3/22/2023 4:01,Staten Island,Sunny,Wet,Car,Severe,1,4,Distracted Driving,FALSE,FALSE,FALSE
A02014,9/20/2023 0:32,Staten Island,Snowy,,Bus,Severe,1,9,Drunk Driving,FALSE,FALSE,FALSE
A02015,10/3/2023 11:17,Staten Island,Snowy,Wet,Bus,Moderate,4,9,Drunk Driving,TRUE,FALSE,FALSE
A02016,8/5/2023 0:56,Staten Island,Sunny,Dry,Bus,Severe,3,4,Drunk Driving,TRUE,FALSE,FALSE
A02017,10/12/2023 1:56,Manhattan,Foggy,Under Construction,Bus,Severe,1,5,Distracted Driving,TRUE,FALSE,FALSE
A02018,8/19/2023 19:28,The Bronx,Snowy,Dry,Motorcycle,Moderate,2,7,Drunk Driving,FALSE,FALSE,FALSE
A02019,5/16/2023 2:44,The Bronx,Snowy,Wet,Car,Severe,1,9,Drunk Driving,TRUE,TRUE,TRUE
A02020,5/27/2023 20:34,Brooklyn,,Dry,Bus,Moderate,1,1,Poor Road Condition,TRUE,FALSE,FALSE
A02021,6/7/2023 6:59,Brooklyn,Sunny,Dry,Bus,Moderate,2,5,Poor Road Condition,FALSE,TRUE,FALSE
A02022,9/15/2023 17:28,Brooklyn,Sunny,,Truck,Moderate,2,1,Distracted Driving,FALSE,TRUE,FALSE
A02023,10/25/2023 0:39,Brooklyn,Sunny,Dry,Truck,Severe,2,9,Poor Road Condition,FALSE,FALSE,FALSE
A02024,11/3/2023 13:11,The Bronx,Sunny,Under Construction,Motorcycle,Minor,3,6,Distracted Driving,TRUE,TRUE,FALSE
A02025,3/20/2023 10:59,Brooklyn,Rainy,Wet,Car,Moderate,1,4,Drunk Driving,FALSE,TRUE,FALSE
A02026,11/26/2023 12:32,Brooklyn,Snowy,Dry,Motorcycle,Moderate,1,1,Speeding,FALSE,FALSE,FALSE
